test_id,question,expected_doc_ids,gold_answer,actual_output,contextual_precision_status,contextual_precision_reason
RAG_TC_001,What are the default size limits for file uploads and total request size for the new multipart upload support on the OpenAI-compatible API endpoints?,dsid_ae068ee4aa9640159427cd941bef0238,The default limits are 10 MiB per file (max_file_size) and 50 MiB total per request (max_total_request_size) for multipart uploads on the OpenAI-compatible endpoints.,"Answer: 10MiB, 50MiB, 20.",Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_002,What is the name of the new metric added so SRE can track when server-side streaming sessions get finalized due to hitting the time limit?,dsid_9550250a59e74f1bbd5612480b2e7100,The new metric is `stream.timebox_finalized` (with labels for route and model).,Answer: Timeboxed.,Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_003,What are the acceptance criteria for the project introducing an algorithm to generate interactive UI color states and a Kappa-style elevation scale for dense table and grid components?,dsid_3fd6af404fae48e6b8ea5a57875ef78f,"The acceptance criteria are: (1) deliver a stable design JSON token spec including the base palette, interactive derivative tokens (e.g., color.interactive.primary.hover), and elevation.kappa.0-6 with explicit shadow parameters; (2) land an implementation-ready tokens PR in the frontend repo, with DataGrid and Table consuming the new tokens behind a feature flag; (3) pass accessibility contrast checks for all interactive states (3:1 where applicable and 4.5:1 for primary actionable text); (4) add per-component visual regression snapshots/tolerances with no regressions beyond approved deltas; (5) update the Figma design kit with tokenized components and guidance notes; and (6) execute a rollout plan from internal canary on analytics dashboards to staged rollout and full migration with a fallback.",Answer: Implementation should use runtime CSS variables for quick theming and a build-time compiled fallb,Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_004,"In the meeting about onboarding a SaaS product to Google Cloud Marketplace, what did the GCP team recommend for handling delays where a new subscription entitlement is not immediately available during the customer onboarding flow?",dsid_6c4c1c875e704f09b4d791d64d7bc7e5,"The GCP team said entitlement propagation delays can happen, so the onboarding UX should handle a ""pending"" state gracefully-avoid scary ""not entitled"" errors, tell the user the subscription is still syncing and may take a few minutes, and provide a clear retry/refresh experience (optionally showing when it was last checked) plus support instructions if it doesn't resolve.","Answer: GCP emphasized keeping dimension names stable, ensuring aggregation and rounding are consistent, and making the onboarding flow resilient to entitlement propagation delays.",Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_005,"What failover sequence and recovery targets did MedThink specify for handling an EU region outage, including any limits on how long traffic can shift to the US?",dsid_8e838ab6a98f4cbcb672d41f210ff89c,"MedThink's preferred failover hierarchy is EU primary → EU warm standby → US emergency failover. They set a target RPO of 15 minutes for active datasets and an RTO target of 30 minutes for critical APIs, and allow shifting to the US only during declared, pre-approved emergency windows capped at 4 hours.","Answer: No-op, failover, partial shift, rollback, hold. Action: executable change (policy flip, weight adjustment, circuit breaker mode) emitted by controller.",Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_006,"In the draft spec about extending a routing policy engine for automated regional failover, what is the proposed priority order for evaluating different failure signals when deciding whether to shift traffic or fail over?",dsid_184be937d34a412ab5e61366d54d8ed6,"The draft proposes this canonical v1 signal priority order: (1) authoritative Reachability DOWN → FAILOVER (unless no healthy fallback), (2) fast/severe 5xx error burn → FAILOVER or PARTIAL_SHIFT depending on blast radius and capacity, (3) tail latency burn → PARTIAL_SHIFT first, escalating to FAILOVER if corroborated and sustained, (4) capacity exhaustion/hard gate → HOLD plus load shed (avoid shifting into constrained regions), and (5) control plane degradation → HOLD to avoid rapid flips/oscillation.",Answer: Reachability: ok|degraded|down + confidence + last_updated - errors_5xx_burn: burn_rate + window + confidence - tail_latency_burn: burn_rate + p95/p99 deltas + confidence - capacity_headroom: percent + “hard gate” boolean - control_plane_health: ok| Final,Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_007,"In a rolling investigation of a model regression on policy-related prompts after a recent deploy, what was the average triage rubric score change between the older baseline build and the newer optimized build in the first comparison run?",dsid_72ec4a9962ba43e88acd61abbba1052d,"In the first comparison run, the baseline build averaged 2.7 while the newer optimized build averaged 1.9, a decrease of 0.8 rubric points.",Answer: The average triage rubric score change was 1.9.,Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_008,"In the internal shiproom runner notes, what is the target time-to-recover threshold for a verified rollback in staging?",dsid_5fc2dba9f6ac4af2b49b4f546a4298d0,The rollback plan is considered verified in staging if the time-to-recover is under 10 minutes.,Answer: 10m.,Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_009,"In the EdgePath evaluation email thread, what alternative Year 1 pricing package did Redwood propose instead of matching the competitor's 50 percent first-year discount and migration credit?",dsid_85deb10a652742baaf28af6149600001,"Redwood said it wouldn't match the competitor's 50% blanket Year-1 discount and $60k migration credit, and instead proposed a 12-month committed prepay package with ~40% off list on prepay buckets plus a $50,000 one-time onboarding/migration credit tied to milestones, with an optional seat/license fee to cap variable spend and a 99.9% latency SLO for hosted US instances.",Answer: Prepay bucket + seat licenses with an onboarding credit.,Completed,Contextual Precision executed through DeepEval trace.
RAG_TC_010,How does the new alerting approach group model-serving requests by the stages they pass through to reduce noisy alerts and speed up root cause analysis?,dsid_c1a6a71323c04c1ba5445aadea340362,"It adds a lightweight token_stage_cohort service that computes a deterministic ""cohort key"" for each invocation from stage-level signals (e.g., token counts per stage, KV-cache hit patterns, decode batch size) and keeps short-lived aggregates per cohort. An alert route-matrix generator then uses those cohort rollups to build a route × stage alert matrix that attributes SLO violations to the most likely pipeline stages and biases escalation to the top-k responsible stages, reducing per-route alert noise and speeding RCA.",Answer: Introduces an alert route-matrix generator that consumes cohort rollups and emits alert bindings which bias escalation to the top-k stages for that route.,Completed,Contextual Precision executed through DeepEval trace.
